"","Id","Bodyfat","Age","Weight","Height","Neck","Chest","Abdo","Hip","Thigh","Knee","Ankle","Bic","Fore","Wrist","Gender"
"55",14,21.2,30,93.1,71.25,39.4,104.1,101.8,108.6,66,41.5,23.7,36.9,31.6,18.8,"Female"
"56",19,16,28,83.35,67.75,38,106.8,89.6,102.4,64.2,38.7,22.9,37.2,30.5,18.5,"Male"
"57",64,25.8,61,80.74,67,37.4,105.3,99.7,99.7,60.8,40.1,22.7,33.6,29,18.8,"Male"
"58",104,22.3,49,89.24,73.75,40.7,103.5,95.5,101.6,59.1,39.8,25.4,31,30.3,19.7,"Female"
"59",131,18.1,49,77.9,71.5,35.5,97.8,90.1,95.8,57,38.7,23.2,27.5,26.5,17.6,"Female"
"60",81,31.4,67,74.28,67.75,38.4,97.7,95.8,97.1,54.8,38.2,23.7,29.4,27.2,19,"Male"
"61",212,27.2,49,98.09,74.5,40.2,115.6,104,109,63.7,40.3,23.2,36.8,31,18.9,"Female"
"62",58,28,62,91.29,69.5,40.5,111.5,104.2,105.8,61.8,39.8,22.7,37.7,30.9,19.2,"Male"
"63",90,14.1,48,79.83,73,36.7,96.7,86.5,98.3,60.4,39.9,24.4,28.8,29.6,18.7,"Female"
"64",65,32.3,57,93.21,70,40.1,105.3,105.5,108.3,65,41.2,24.7,35.3,31.1,18.4,"Female"
"65",125,13.8,50,73.03,66.5,37.7,98.9,84.1,94,58.5,36.6,23.5,34.4,29.2,18,"Female"
"66",199,6.6,42,75.86,72.75,37.6,94,78,99,57.5,40,22.5,30.6,30,18.5,"Female"
"67",235,25.8,60,71.55,67.5,40.4,97.2,93.3,94,54.3,35.7,21,31.3,28.7,18.3,"Male"
"68",203,28.7,43,90.95,71.5,37.9,107.2,103.1,105.5,68.8,38.3,23.7,32.1,28.9,18.7,"Female"
"69",243,30.4,66,106.25,72,41.4,119.7,109,109.1,63.7,42.4,24.6,35.6,30.7,19.5,"Male"
"70",161,9.4,31,68.61,72.25,35,94,81.2,91.5,52.5,36.6,21,27,26.3,16.5,"Female"
"71",228,25.2,55,90.04,74.25,38.3,105.3,96.7,106.6,64,42.6,23.4,33.2,30,18.4,"Female"
"72",153,10.1,27,66.22,72.25,34.1,88.5,72.8,91.1,53.6,36.8,23.8,27.8,26.3,17.4,"Female"
"73",224,5.2,55,64.52,67.25,35.2,92.7,82.8,91.9,54.4,35.2,22.5,29.4,26.8,17,"Female"
"74",62,29.8,56,81.08,68.5,35.6,102.9,94.7,100.8,60.9,38,22.1,32.5,29.8,18.3,"Female"
"75",87,14.9,72,71.55,67.25,37.7,97.5,88.1,96.9,57.2,37.7,21.8,32.6,28,18.8,"Male"
"76",158,10,28,82.78,72.25,37,98.5,90.8,102.5,60.8,38.5,25,31.6,28,18.6,"Female"
"77",180,16.9,39,106.48,74.5,42.8,109.5,104.5,109.9,69.5,43.1,25.8,39.1,32.5,19.9,"Female"
"78",70,12.9,55,71.1,71.5,36.3,94.4,84.6,94.3,51.2,37.4,21.6,27.3,27.1,17.3,"Female"
"79",137,21.8,39,75.64,70.75,37,92.9,86.1,95.6,58.8,36.1,22.4,32.7,28.3,17.1,"Female"
"80",210,10.8,47,72.46,70.75,34.5,92.9,84.4,94,56,38.2,22.6,29,26.2,17.6,"Female"
"81",77,8.8,57,73.71,69.5,38.7,91.6,78.8,94.3,56.7,39.7,24.2,30.2,29.2,18.1,"Female"
"82",124,16,47,68.72,66.75,36.9,94,86.1,95.2,58.1,36.5,22.1,30.6,27.5,17.6,"Female"
"83",252,31.9,74,94.12,70,40.8,112.4,108.5,107.1,59.3,42.2,24.6,33.7,30,20.9,"Male"
"84",57,20.4,58,82.33,68,39.1,100,99.8,102.5,62.1,39.6,22.5,33.1,28.3,18.5,"Female"
"85",129,20.8,40,87.2,73.25,39.8,103.9,93.5,99.5,61.7,39,21.8,33.3,29.6,18.1,"Female"
"86",34,21.3,41,99.11,71,39.8,111.7,100.5,108.3,67.1,44.2,25.2,37.5,31.5,18.7,"Female"
"87",120,18.1,44,85.05,72.25,38,101.8,87.5,101,58.5,39.2,24.5,32.1,28.6,18,"Male"
"88",20,16.5,33,96.05,73.5,40,106.2,100.5,109,65.8,40.6,24,37.1,30.1,18.2,"Female"
"89",41,34.5,45,119.18,68.75,43.2,128.3,126.2,125.6,72.5,39.6,26.6,36.4,32.7,21.4,"Female"
"90",215,19.5,50,78.36,73,37.4,98.7,87.6,96.1,57.1,38.1,21.8,28.6,26.7,18,"Female"
"91",38,28.4,50,89.24,68.25,42.1,105.6,98.8,104.8,66,41.5,24.7,33.2,30.5,19.4,"Female"
"92",10,11.7,23,89.92,73.5,42.1,99.6,88.6,104.1,63.1,41.7,25,35.6,30,19.2,"Female"
"93",105,25.4,43,80.29,69.25,39.6,104,98.6,99.5,59.5,36.1,22,30.1,27.2,17.7,"Female"
"94",140,20.4,49,96.5,75,40.8,104.7,106.6,107.7,66.5,42.5,24.5,35.5,29.8,18.7,"Female"
"95",170,16.5,35,78.36,69.5,37.6,99.1,90.8,98.1,60.1,39.1,23.4,32.5,29.8,17.4,"Female"
"96",126,17.5,46,75.75,67,36.6,101,89.9,100,60.7,36,21.9,35.6,30.2,17.6,"Female"
"97",72,8.8,55,66.56,68.75,38.7,88.5,82.8,95.5,58.9,37.6,21.6,30.3,27.3,18.3,"Female"
"98",189,20.5,41,91.74,72.5,40.8,109.2,98,101.8,62.8,41.3,24.8,36.6,32.4,18.8,"Female"
"99",244,32.6,67,103.31,72.75,41.3,115.8,113.4,109.8,65.6,46,25.4,35.3,29.8,19.5,"Male"
"100",94,24.9,46,87.32,71.75,38,106.6,97.5,100.6,58.9,40.5,24.5,33.3,29.6,19.1,"Female"
"101",205,34.8,44,101.15,69.75,40.9,121.6,113.9,107.1,63.5,40.3,21.8,34.8,30.7,17.4,"Female"
"102",55,3.9,42,61.8,67.5,37.8,87.6,77.6,88.6,51.9,34.9,22.5,27.7,27.5,18.5,"Female"
"103",163,13,33,83.57,68.75,40.7,98.9,92.1,103.5,64,37.3,23.5,33.5,30.6,19.7,"Male"
"104",217,13.6,51,67.7,69.75,34.8,92.8,81.1,96.3,53.8,36.5,21.5,31.3,26.3,17.8,"Female"
"105",239,12.4,64,70.42,69.5,37.9,95.8,82.8,94.5,61.2,39.1,22.3,29.8,28.9,18.3,"Male"
"106",30,8.8,29,72.91,69,36.7,97.4,83.5,98.7,58.9,35.3,22.6,30.1,26.7,17.6,"Female"
"107",18,22.9,32,94.91,71,42.1,107.6,97.5,107,66.9,40,24.4,38.2,31.6,19.3,"Female"
"108",201,12.2,43,80.85,70.25,37.8,102.7,89.2,99.2,60.2,39.2,23.8,31.7,28.4,18.6,"Female"
"109",133,23.6,47,89.36,73.25,37.8,103.6,99.8,103.2,61.2,38.1,22.6,33.5,28.6,17.9,"Female"
"110",177,13.1,37,68.49,67,35.3,92.6,83.2,96.4,60,38.1,22,31.5,26.6,16.7,"Female"
"111",138,29.4,43,85.16,74,37.7,97.8,98.6,100.6,63.6,39.2,23.8,34.3,28.4,17.7,"Male"
"112",159,12.5,30,61.92,68.75,35.9,88.7,76.6,89.8,50.1,34.8,21.8,27,34.9,16.9,"Female"
"113",231,10.6,57,67.02,65.75,35.2,99.6,86.4,90.1,53,35,21.3,31.7,27.3,16.9,"Female"
"114",61,26.1,62,97.98,73.25,41.4,112.3,104.8,103.1,61.6,40.9,23.1,36.2,31.8,20.2,"Male"
"115",245,29,67,90.49,68.5,40.7,118.3,106.1,101.6,58.2,38.8,24.1,32.1,29.3,18.5,"Male"
"116",2,6.1,22,78.58,72.25,38.5,93.6,83,98.7,58.7,37.3,23.4,30.5,28.9,18.2,"Female"
"117",99,17.8,46,70.99,68.25,35.9,95.1,88.2,92.8,54.7,37.3,21.9,31.6,27.5,18.2,"Female"
"118",198,17.7,42,76.2,71.5,36.5,92,89.7,101,62.3,38,22.3,30.8,27.8,16.9,"Female"
"119",141,24.9,40,80.17,71,37.4,98.6,93.1,101.6,59.1,39.6,21.6,30.8,27.9,16.6,"Female"
"120",142,18.3,40,78.58,69.5,36.5,99.5,93,99.3,60.4,38.2,22,32,28.5,17.8,"Female"
"121",130,14.9,42,74.96,69.75,38.3,96.2,87,97.8,57.4,36.9,22.2,31.6,27.8,17.7,"Female"
"122",154,16.5,27,71.1,67.25,37.9,94,88.2,95.2,56.8,37.4,22.8,30.6,28.3,17.9,"Female"
"123",179,22.5,38,84.94,69.25,38,102.7,92.7,101.9,64.7,39.5,24.7,34.8,30.3,18.1,"Male"
"124",21,19.1,28,81.19,68,39.1,103.3,95.9,104.9,63.5,38,22.1,32.5,30.3,18.4,"Female"
"125",251,26,72,86.52,70.5,38.9,108.3,101.3,97.8,56,41.6,22.7,30.5,29.4,19.8,"Male"
"126",59,31.5,54,91.85,70.75,40.5,115.4,105.3,97,59.1,38,22.5,31.6,28.8,18.2,"Female"
"127",194,24.7,42,101.94,74.75,38.5,106.7,105.7,111.8,65.3,43.3,26,33.7,29.9,18.5,"Female"
"128",25,14,28,68.61,67.75,34.5,90.2,76.3,95.8,58.4,35.5,22.9,31.1,28,17.6,"Female"
