,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
27,no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,... < 100 DM,NA,4,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",NA,none,NA,1,unskilled - resident,NA,none,NA,good
28,NA,12,all credits at this bank paid back duly,radio/television,409,... >= 1000 DM,NA,NA,female : divorced/separated/married,none,3,real estate,42,NA,NA,2,unskilled - residentskilled employee / official,1,none,yes,good
29,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... < 100 DM,NA,3,male : single,guarantor,2,real estate,34,NA,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
30,NA,60,NA,business,6836,... < 100 DM,NA,3,male : single,none,4,unknown / no property,NA,none,own,2,NA,NA,"yes, registered under the customers name",yes,bad
31,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,NA,... >= 1000 DM,... < 1 year,NA,male : married/widowed,none,3,NA,36,bank,NA,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
32,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,NA,"car or other, not in attribute Savings account/bonds",27,NA,NA,1,unskilled - residentskilled employee / official,NA,none,yes,good
33,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,NA,1 <= ... < 4 years,2,NA,NA,2,"car or other, not in attribute Savings account/bonds",NA,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
34,no checking account,12,NA,business,NA,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,NA,none,rent,1,unskilled - resident,1,none,yes,good
35,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,... < 1 year,NA,NA,none,1,building society savings agreement/ life insurance,33,bank,own,1,OTHER,1,"yes, registered under the customers name",yes,good
36,0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),NA,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,25,none,own,2,NA,1,none,yes,bad
37,no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,NA,unskilled - residentskilled employee / official,1,NA,yes,good
38,... >= 200 DM / salary assignments for at least 1 year,18,NA,radio/television,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,NA,real estate,37,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
39,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,NA,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",37,none,own,NA,NA,1,"yes, registered under the customers name",yes,good
40,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM,NA,4,male : single,none,NA,real estate,24,none,NA,1,unskilled - residentskilled employee / official,NA,none,yes,good
41,no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",30,NA,own,1,OTHER,1,NA,yes,good
42,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1158,NA,NA,NA,female : divorced/separated/married,NA,1,"car or other, not in attribute Savings account/bonds",26,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
43,0 <= ... < 200 DM,18,NA,NA,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,NA,none,NA,1,NA,2,"yes, registered under the customers name",yes,good
44,... < 0 DM,NA,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,NA,1,male : married/widowed,NA,4,"car or other, not in attribute Savings account/bonds",24,NA,rent,2,unskilled - residentskilled employee / official,NA,none,yes,good
45,... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,58,stores,NA,2,unskilled - resident,1,none,yes,bad
46,no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,NA,NA,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",35,none,own,2,OTHER,NA,none,yes,good
47,no checking account,36,existing credits paid back duly till now,NA,NA,500 <= ... < 1000 DM,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",39,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
48,... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,NA,1,NA,1,"yes, registered under the customers name",yes,good
49,no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,NA,4,NA,39,none,own,2,unskilled - resident,NA,none,yes,good
50,no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,NA,NA,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
51,0 <= ... < 200 DM,NA,delay in paying off in the past,furniture/equipment,NA,unknown/ no savings account,NA,4,male : single,none,2,building society savings agreement/ life insurance,NA,bank,own,1,NA,1,none,yes,good
52,NA,27,NA,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",30,none,own,NA,OTHER,1,"yes, registered under the customers name",yes,good
53,no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",25,none,NA,NA,unskilled - residentskilled employee / official,1,none,yes,good
54,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,NA,NA,none,NA,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
55,NA,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,NA,none,4,unknown / no property,57,bank,for free,NA,unskilled - residentskilled employee / official,NA,NA,yes,bad
56,no checking account,6,all credits at this bank paid back duly,NA,783,unknown/ no savings account,NA,1,male : single,guarantor,NA,real estate,26,stores,NA,1,unskilled - resident,2,none,yes,good
57,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,6468,NA,NA,NA,male : single,none,1,unknown / no property,52,none,own,1,NA,1,"yes, registered under the customers name",yes,bad
58,NA,36,critical account/ other credits existing (not at this bank),radio/television,9566,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",31,stores,own,NA,unskilled - residentskilled employee / official,1,none,NA,good
59,... >= 200 DM / salary assignments for at least 1 year,18,NA,car (new),1961,... < 100 DM,NA,3,female : divorced/separated/married,NA,NA,"car or other, not in attribute Savings account/bonds",23,none,own,1,OTHER,1,none,yes,good
60,... < 0 DM,NA,critical account/ other credits existing (not at this bank),furniture/equipment,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,NA,4,unknown / no property,23,none,NA,2,unskilled - resident,1,"yes, registered under the customers name",yes,bad
61,0 <= ... < 200 DM,9,existing credits paid back duly till now,NA,NA,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,NA,1,real estate,27,bank,own,1,unskilled - residentskilled employee / official,NA,NA,yes,good
62,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,... >= 7 years,NA,male : single,guarantor,4,real estate,50,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
63,NA,NA,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,... >= 7 years,4,NA,NA,4,unknown / no property,61,none,NA,1,NA,NA,"yes, registered under the customers name",NA,bad
64,0 <= ... < 200 DM,48,NA,business,NA,... < 100 DM,1 <= ... < 4 years,2,NA,NA,2,"car or other, not in attribute Savings account/bonds",25,none,own,NA,NA,1,"yes, registered under the customers name",yes,bad
65,no checking account,24,existing credits paid back duly till now,radio/television,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,NA,NA,26,NA,NA,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
66,no checking account,27,existing credits paid back duly till now,NA,5190,unknown/ no savings account,NA,4,NA,NA,4,building society savings agreement/ life insurance,48,NA,own,4,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",NA,good
67,no checking account,12,existing credits paid back duly till now,radio/television,2171,... < 100 DM,NA,2,NA,none,2,"car or other, not in attribute Savings account/bonds",NA,NA,own,1,unskilled - residentskilled employee / official,1,none,NA,good
68,0 <= ... < 200 DM,12,NA,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,NA,NA,1,none,yes,good
69,NA,36,existing credits paid back duly till now,education,NA,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,4,unknown / no property,37,stores,for free,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
70,NA,36,existing credits paid back duly till now,radio/television,2394,NA,NA,NA,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",25,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
71,no checking account,36,NA,NA,8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,NA,NA,building society savings agreement/ life insurance,30,bank,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
72,no checking account,NA,NA,NA,730,unknown/ no savings account,... >= 7 years,NA,male : single,none,NA,NA,46,none,rent,2,unskilled - resident,NA,"yes, registered under the customers name",yes,good
73,... < 0 DM,8,critical account/ other credits existing (not at this bank),NA,1164,NA,... >= 7 years,3,male : single,none,NA,NA,NA,NA,NA,2,OTHER,2,"yes, registered under the customers name",yes,good
74,0 <= ... < 200 DM,42,NA,NA,5954,... < 100 DM,4 <= ... < 7 years,NA,NA,none,1,real estate,NA,NA,own,NA,NA,1,NA,yes,good
75,... < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,NA,4,male : single,none,4,unknown / no property,40,NA,own,1,NA,1,"yes, registered under the customers name",yes,bad
76,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),NA,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,66,none,NA,2,OTHER,1,none,yes,good
77,... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,NA,... < 1 year,NA,male : single,none,3,"car or other, not in attribute Savings account/bonds",34,none,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
78,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/ life insurance,51,NA,NA,NA,unskilled - residentskilled employee / official,1,NA,yes,good
79,no checking account,54,no credits taken/ all credits paid back duly,NA,9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,NA,building society savings agreement/ life insurance,NA,none,NA,1,NA,NA,none,NA,good
80,0 <= ... < 200 DM,NA,NA,furniture/equipment,3832,... < 100 DM,... < 1 year,NA,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
81,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",44,none,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
82,no checking account,NA,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,NA,4,male : single,NA,3,NA,47,stores,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
83,NA,18,existing credits paid back duly till now,NA,NA,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,NA,4,building society savings agreement/ life insurance,24,none,rent,1,NA,1,none,yes,good
84,... < 0 DM,24,existing credits paid back duly till now,OTHER,1755,... < 100 DM,NA,4,female : divorced/separated/married,guarantor,4,real estate,58,NA,NA,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
85,... < 0 DM,10,existing credits paid back duly till now,NA,2315,... < 100 DM,NA,3,NA,none,4,real estate,52,NA,own,1,unskilled - resident,1,none,yes,good
86,NA,NA,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,guarantor,NA,real estate,29,none,own,2,OTHER,NA,"yes, registered under the customers name",yes,good
87,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,NA,NA,building society savings agreement/ life insurance,27,NA,own,NA,unskilled - residentskilled employee / official,1,none,NA,good
88,0 <= ... < 200 DM,36,NA,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,NA,none,NA,unknown / no property,47,NA,for free,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,bad
89,... < 0 DM,18,existing credits paid back duly till now,NA,2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,NA,3,"car or other, not in attribute Savings account/bonds",NA,none,NA,NA,NA,2,"yes, registered under the customers name",NA,good
90,... < 0 DM,12,no credits taken/ all credits paid back duly,OTHER,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,NA,none,NA,2,unskilled - residentskilled employee / official,NA,none,yes,bad
91,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,4,NA,none,4,real estate,NA,none,own,1,NA,1,none,NA,good
92,... < 0 DM,12,NA,car (used),1409,NA,... >= 7 years,4,male : single,none,3,real estate,54,NA,own,1,unskilled - residentskilled employee / official,1,NA,NA,good
93,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,NA,unknown/ no savings account,... >= 7 years,NA,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,NA,1,unskilled - resident,2,none,yes,bad
94,... >= 200 DM / salary assignments for at least 1 year,24,NA,furniture/equipment,3617,NA,... >= 7 years,4,NA,NA,4,unknown / no property,20,none,rent,NA,unskilled - residentskilled employee / official,1,none,NA,good
95,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,NA,NA,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
96,0 <= ... < 200 DM,NA,NA,business,15945,NA,... < 1 year,3,male : single,none,4,unknown / no property,NA,none,NA,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
97,no checking account,NA,NA,education,2012,unknown/ no savings account,4 <= ... < 7 years,4,NA,none,NA,"car or other, not in attribute Savings account/bonds",61,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
98,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
99,NA,NA,NA,radio/television,NA,... < 100 DM,NA,4,male : single,none,4,real estate,36,none,own,1,NA,1,none,NA,good
100,NA,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,NA,3,male : single,none,NA,NA,36,NA,rent,NA,OTHER,NA,"yes, registered under the customers name",NA,good
101,NA,24,existing credits paid back duly till now,NA,1469,100 <= ... < 500 DM,NA,4,NA,none,4,NA,41,none,rent,1,unskilled - resident,1,none,yes,good
102,NA,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,NA,rent,1,unskilled - residentskilled employee / official,1,none,yes,good
103,no checking account,6,delay in paying off in the past,radio/television,932,NA,1 <= ... < 4 years,3,female : divorced/separated/married,none,NA,NA,24,NA,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
104,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,4,NA,none,NA,"car or other, not in attribute Savings account/bonds",35,none,rent,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
105,no checking account,12,existing credits paid back duly till now,car (used),NA,unknown/ no savings account,... < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",26,none,rent,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
106,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),OTHER,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",39,none,NA,2,OTHER,NA,"yes, registered under the customers name",yes,bad
107,no checking account,NA,NA,car (new),NA,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown / no property,39,bank,NA,NA,OTHER,NA,NA,NA,bad
108,0 <= ... < 200 DM,NA,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,NA,NA,2,NA,32,NA,own,1,unskilled - residentskilled employee / official,1,NA,yes,good
109,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,NA,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,NA,2,building society savings agreement/ life insurance,30,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",no,good
110,NA,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,NA,NA,male : married/widowed,none,2,NA,35,NA,NA,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",NA,good
111,0 <= ... < 200 DM,NA,delay in paying off in the past,NA,1449,100 <= ... < 500 DM,NA,NA,female : divorced/separated/married,NA,2,"car or other, not in attribute Savings account/bonds",31,bank,own,NA,unskilled - residentskilled employee / official,2,none,yes,good
112,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,NA,NA,... < 1 year,4,NA,none,4,NA,NA,NA,rent,1,NA,NA,"yes, registered under the customers name",yes,good
113,NA,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,good
114,no checking account,36,NA,car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
115,... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,... >= 7 years,3,NA,none,1,real estate,35,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
116,no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,... >= 7 years,4,male : single,none,NA,real estate,47,NA,own,1,NA,1,"yes, registered under the customers name",yes,good
117,... < 0 DM,42,existing credits paid back duly till now,NA,7174,unknown/ no savings account,NA,4,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",30,NA,own,1,OTHER,1,NA,yes,bad
118,... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,NA,... < 1 year,NA,female : divorced/separated/married,NA,3,real estate,27,none,rent,2,unskilled - residentskilled employee / official,1,none,no,good
119,... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,own,2,NA,NA,none,yes,bad
120,NA,NA,NA,car (new),2366,500 <= ... < 1000 DM,NA,3,NA,none,NA,"car or other, not in attribute Savings account/bonds",36,none,NA,NA,OTHER,1,NA,yes,good
121,NA,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,2,real estate,25,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
122,no checking account,NA,NA,car (used),3868,NA,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",41,none,NA,2,OTHER,1,"yes, registered under the customers name",yes,good
123,no checking account,12,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,3,NA,none,2,real estate,24,none,rent,1,NA,1,NA,yes,good
124,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),NA,... < 100 DM,... >= 7 years,NA,male : single,none,4,unknown / no property,63,none,for free,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
125,0 <= ... < 200 DM,NA,NA,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,none,3,NA,27,none,rent,NA,unskilled - residentskilled employee / official,1,none,NA,bad
126,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM,1 <= ... < 4 years,NA,male : single,NA,2,NA,30,NA,NA,2,unskilled - residentskilled employee / official,NA,none,yes,good
127,... < 0 DM,12,existing credits paid back duly till now,NA,701,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,NA,1,NA,NA,good
128,0 <= ... < 200 DM,12,existing credits paid back duly till now,OTHER,639,... < 100 DM,1 <= ... < 4 years,4,NA,none,2,"car or other, not in attribute Savings account/bonds",30,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
129,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,NA,unemployed,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,NA,own,2,OTHER,1,"yes, registered under the customers name",yes,good
130,NA,12,NA,car (new),3499,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,NA,real estate,29,none,own,2,unskilled - residentskilled employee / official,1,none,NA,bad
